,summarization
558,"we stayed there 3 times over 3 weeks and each time the internet was down which was pretty annoying. clean rooms, nice breakfast and good gym (for India). basic business hotel. a good breakfast - clean and clean. good location!"
559,"the hotel was a good 1.5 to 2 hours drive from the centre of Delhi. some members of our Group had previously arranged to eat out in Delhi, but this would not have been possible. the food was very nice, though terribly expensive even by London standards.the biggest problem we had was that of sleep (or lack of)."
560,"the hotel is so far out of the city centre that it is difficult to use as a base for your own sightseeing. we stayed in this hotel twice, one night at the start of our tour, and then again just before we were due to fly from Delhi. the staff in the bar were really nice, though we found the drinks pricey on Indian standards. they did get overwhelmed at checkout time, as all guests are being picked up together."
561,"this hotel was part of the Golden Triangle Trip (so hotels booked for us). we had stayed at The Oberoi Maidens, Delhi for 3 nights at the beginning (which was excellent) so this Hotel was depressing, by comparison-even though the food was fine."
562,"the tour company (Hi-Tours) put us in this hotel for two nights. we had stayed at a budget hotel in Delhi on our own - the city park is totally remote, far from anything and the former mall next door is empty except for cookie store and an optical shop. the staff was rude and inefficient."
563,"the hotel was arranged for us as part of a tour so we didn't have any choice in where we stayed. we arrived in the evening, having spent most of the day travelling up from Goa, and had delayed flights and the possibility of missing our connection (which we did not, thanks to tremendous efficiency by Kingfisher Airlines staff)."
564,we stayed at City park as part of a tour around india. the rooms were big with all modern ammenities - it is quite far from the very centre of delhi but you get taxi's everywhere anyway. nice hotel.
565,staff were very friendly and helpful the environment with in a hotel was gud. food was excellent specially yellow chilli...an indian restaurant...
566,"despite having a confirmed reservation, I was rebooked at the City Park Hotel. the hotel is not the most centrally located, the rooms are clean and the customer service is exceptional."
567,"the staff at check in were cordial rather than friendly. we were pleasantly surprised upon arrival as the lobby and surrounding areas looked welcoming, spacious and well laid out. our departure next morning was early and we had to be at the airport for around 6.00 a.m."
568,the hotel derives its name from a city park directly opposite which provides pleasant area to walk without the hassle of New Delhi streets. unfortunately open public urinals line the side of the street and the smell can be over powering on hot day. rooms are well appointed and beds are comfortable.
